Assembly	final.contigs
# contigs (>= 0 bp)	1038799
# contigs (>= 1000 bp)	228985
# contigs (>= 5000 bp)	54895
# contigs (>= 10000 bp)	15003
# contigs (>= 25000 bp)	564
# contigs (>= 50000 bp)	3
Total length (>= 0 bp)	1183861293
Total length (>= 1000 bp)	901654745
Total length (>= 5000 bp)	491651749
Total length (>= 10000 bp)	216733430
Total length (>= 25000 bp)	16895900
Total length (>= 50000 bp)	223242
# contigs	349434
Largest contig	88218
Total length	985138185
GC (%)	40.76
N50	4988
N75	2401
L50	55079
L75	126045
# N's per 100 kbp	0.00
